ObjectID,Block,Plot ID ,Tree Number,Species,DBH (cm) 2021
24,1,1-T-2,3082,ABBA,18.5
42,1,1-T-2,3191,ABBA,28.7
64,1,1-T-2,3201,ABBA,11.7
31,1,1-T-2,4000,ABBA,28.2
62,1,1-T-2,3174,ABBA,17.6
58,1,1-T-2,3178,PIRU,19.1
41,1,1-T-2,3192,ABBA,19.6
29,1,1-T-2,3400,PIRU,22.8
20,1,1-T-2,3086,PIRU,15.6
40,1,1-T-2,3193,ABBA,13.3
12,1,1-T-2,3093,ABBA,22.2
5,1,1-T-2,3099,ABBA,19.7
32,1,1-T-2,1210,ABBA,20.6
22,1,1-T-2,3084,ABBA,19.1
18,1,1-T-2,3087,ABBA,11.9
17,1,1-T-2,3088,ABBA,18.5
9,1,1-T-2,3096,PIRU,18.6
61,1,1-T-2,3175,ABBA,16.5
53,1,1-T-2,3181,ABBA,14.8
30,1,1-T-2,3599,ABBA,23.5
23,1,1-T-2,3083,ABBA,18.3
14,1,1-T-2,3091,ABBA,27.3
13,1,1-T-2,3092,ABBA,14
8,1,1-T-2,3097,ABBA,13
10,1,1-T-2,3095,ABBA,19.6
52,1,1-T-2,3182,PIRU,28.1
1,1,1-T-2,3100,ABBA,19.2
55,1,1-T-2,3180,ABBA,14.8
15,1,1-T-2,3090,ABBA,30.2
39,1,1-T-2,3194,ABBA,26.5
20,1,1-T-2,2401,ACRU,14.4
12,1,1-T-2,2402,ABBA,18
4,1,1-T-2,2403,ABBA,11
-4,1,1-T-2,2404,ABBA,12.6
-12,1,1-T-2,2405,ABBA,18.2
-20,1,1-T-2,2406,ABBA,14.1
-28,1,1-T-2,2407,ABBA,12.9
-36,1,1-T-2,2408,ABBA,11.8
-44,1,1-T-2,2409,ABBA,16.7
-52,1,1-T-2,2410,POTR,23.2
-60,1,1-T-2,2411,ABBA,12.7
-68,1,1-T-2,2412,BEPA,13.4
-76,1,1-T-2,2413,ACRU,29.8
-84,1,1-T-2,2414,ACRU,24.7
-92,1,1-T-2,2415,ACRU,12.2
-100,1,1-T-2,2416,ABBA,16
-108,1,1-T-2,2417,ABBA,11.6
-116,1,1-T-2,2418,ABBA,14.6
-124,1,1-T-2,2419,ABBA,12.1
-132,1,1-T-2,2420,ABBA,12.8
-140,1,1-T-2,2421,ABBA,11.6
-148,1,1-T-2,2422,ABBA,12.2
-156,1,1-T-2,2423,ABBA,14.2
-164,1,1-T-2,2424,ABBA,21.2
-172,1,1-T-2,2425,ABBA,19.5
-180,1,1-T-2,2426,ABBA,12.1
-188,1,1-T-2,2427,ABBA,17.6
-196,1,1-T-2,2428,ABBA,10.3
-204,1,1-T-2,2429,ABBA,19.6
-212,1,1-T-2,2430,ABBA,13.2
-220,1,1-T-2,2431,ABBA,10.3
-228,1,1-T-2,2432,ABBA,12
-236,1,1-T-2,2433,ABBA,15
-244,1,1-T-2,2434,ABBA,12.9
-252,1,1-T-2,2435,ABBA,10.4
-260,1,1-T-2,2436,ABBA,11.9
-268,1,1-T-2,2437,ABBA,12.2
-276,1,1-T-2,2438,ABBA,14.1
-284,1,1-T-2,1079,ACRU,
-292,1,1-T-2,2439,ABBA,10.9
-300,1,1-T-2,2440,ABBA,13.5
-308,1,1-T-2,2441,ABBA,16.2
-316,1,1-T-2,2442,ABBA,13.9
-324,1,1-T-2,2443,ABBA,16
-332,1,1-T-2,2444,ABBA,15.7
-340,1,1-T-2,2445,ABBA,13.6
-348,1,1-T-2,2446,ABBA,10.8
-356,1,1-T-2,2447,ABBA,15.4
-364,1,1-T-2,2448,PIRU,21.6
-372,1,1-T-2,2449,ABBA,14.3
-380,1,1-T-2,2450,ACRU,11
-388,1,1-T-2,2451,ACRU,18.2
-396,1,1-T-2,2452,ACRU,11.2
-404,1,1-T-2,2453,ABBA,12.2
-412,1,1-T-2,2454,ABBA,14.3
-420,1,1-T-2,2455,ABBA,13.9
-428,1,1-T-2,2456,ABBA,12.9
-436,1,1-T-2,2457,ABBA,18.9
-444,1,1-T-2,2458,PIRU,23.2
-452,1,1-T-2,2459,ABBA,10.6
-460,1,1-T-2,2460,ABBA,15.8
-468,1,1-T-2,2461,BEAL,16.8
-476,1,1-T-2,2462,POTR,12.2
-484,1,1-T-2,2463,BEPA,10.6
-492,1,1-T-2,2464,ABBA,15
-500,1,1-T-2,2465,ABBA,15.4